2505	8206	6055	9327	8301	4483	2118	7275	8641	8816	5588	4606	2988	7399	9515	  93	4161	5648	4631	9444	 230	8563	2894	9673	2836	2555	7737	7090	1580	1017	2713

4290	9569	5842	5931	5009	2486	4740	5997	1993	6964	5108	5133	8265	4790	2274	8362	3246	6396	2591	7062	2480	5944	3086	 940	3579	8181	 497	4935	4663	6186	7329

5433	4167	 623	3028	6940	5830	  77	4293	6936	9472	3132	 442	7933	5779	2089	 846	5915	5456	6605	7014	1895	 158	4330	1842	3501	5278	1580	6797	 930	2840	9921

9028	2152	8281	5451	5202	7184	2731	7722	4251	 957	1049	2173	9002	8317	2130	1443	5819	2230	3874	4478	 199	6777	4085	5900	7276	5196	2260	 712	5033	8779	2213

2222	7331	1773	3692	8291	3936	6259	8496	1941	5771	3538	5769	9666	4635	6412	6161	2226	6330	5246	  36	2635	6028	9149	 585	4326	1655	8237	3342	7921	3659	3057

1800	5723	5061	4385	1152	 775	6895	5028	8916	 180	7133	6056	 894	 268	3561	1843	5660	9869	1047	4879	4320	1590	5393	8926	2505	6839	6730	9616	5013	5271	2646

3108	3479	6022	7930	5949	5559	9515	7611	3218	6591	1789	5490	1843	7456	2717	7713	1155	1735	4126	6628	4336	 332	9740	4217	9833	4677	4469	1632	8867	5466	3956

8703	1624	  27	3582	5746	7323	2294	4587	9247	 474	5039	 615	9198	6889	3352	2383	8462	4611	 347	8529	1048	2164	9936	 609	4489	9217	2857	9348	 252	8986	7737

7871	9252	6049	3705	7554	8369	4947	1792	 913	7994	6555	7792	6141	5808	8889	7365	2270	 423	3502	 734	7543	 247	4487	1716	2298	5866	5106	7315	7437	2143	4173

 994	 940	3002	9628	1775	4184	3942	 575	6138	7467	1894	7459	1665	9971	8631	9946	1828	8733	9467	5454	4184	4534	6674	3460	4347	1708	7727	1593	8566	6420	4876

 916	7304	8571	5433	1050	 238	8458	7106	2681	1541	4574	2506	9494	4232	8759	6357	3209	5368	5933	 135	9182	6742	7042	4981	3736	8968	2288	9549	8808	2525	3690

5897	1713	9456	 802	3390	4003	1438	4299	8397	3280	9033	5211	3513	1671	3456	8412	2590	1517	8186	9154	9074	1699	1887	3968	3813	3511	9021	4364	9403	4293	3128

